i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
796,0.398,962.062847088003,16099827.1418568,6.42480409197514,27.2491479732052,4478.76459266678,710.371000929422,14999083.0753105,12.5344360497471,5.07896621627764,3283.23829993743,859.361000246457,748.616637262581
797,0.3985,962.035853393938,16099826.9056614,6.42462391817595,27.2499121552924,4478.7571392335,710.702075262473,14999082.2453527,12.5402785221709,5.07659994347059,3283.47265538534,859.43677295558,748.812934156107
798,0.399,962.008886087161,16099826.669444,6.42444392059865,27.2506756327591,4478.74969217522,711.032444850251,14999081.4159462,12.5461085596082,5.07424090380629,3283.70631741237,859.510699308525,748.912551281747
799,0.3995,961.981945463283,16099826.4332042,6.42426410121754,27.2514383971084,4478.74225146821,711.361883985945,14999080.5873451,12.5519221792654,5.07189068953293,3283.93928750273,859.585774041448,749.10715616815
800,0.4,961.955031034846,16099826.1969426,6.42408445677707,27.2522004620277,4478.7348170881,711.690619368059,14999079.7592954,12.5577233814284,5.06954766426116,3284.17156772062,859.659020355107,749.205796291014
801,0.4005,961.928143092708,16099825.9606587,6.42390498921979,27.2529618191548,4478.72738901111,712.018426951045,14999078.9320492,12.5635082126174,5.06721340563325,3284.40315953396,859.733396792578,749.398713273148
802,0.401,961.901281154111,16099825.7243532,6.42372569532155,27.2537224820465,4478.71996721283,712.345531770993,14999078.1053545,12.5692806437841,5.06488629229876,3284.63406498608,859.805962522428,749.496375347165
803,0.4015,961.874445505215,16099825.4880257,6.42354657699352,27.2544824424742,4478.71255166945,712.671711431955,14999077.2794616,12.5750367505567,5.06256788744094,3284.8642855288,859.879640328797,749.687608501824
804,0.402,961.847635667904,16099825.2516768,6.42336763104254,27.2552417138656,4478.70514235653,712.997189319199,14999076.4541201,12.5807804747576,5.06025658459673,3285.09382318484,859.951524916407,749.784291489562
805,0.4025,961.820851923695,16099825.0153061,6.42318885934879,27.2560002881239,4478.6977392502,713.321744674784,14999075.6295786,12.5865079209183,5.05795393263563,3285.3226793901,860.024503739456,749.973844867559
