i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
217,0.27125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,306.457482784636,14999946.2968772,2.42840712995112,11.8676002152659,1106.39480590819,680.56091280858,306.570557520953
218,0.2725,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,306.917332842368,14999946.0262154,2.43205108276786,11.8498189377514,1106.60779930429,680.80670603465,307.028970202699
219,0.27375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,307.376953395232,14999945.7553364,2.43569321712622,11.832099697746,1106.82043705995,681.05248206733,307.487141681559
220,0.275,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,307.836344799011,14999945.4842403,2.43933353584557,11.8144421640853,1107.0327201033,681.298240725405,307.945072120018
221,0.27625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,308.295507407419,14999945.212927,2.44297204172881,11.7968460080152,1107.24464936089,681.543981827232,308.40276170625
222,0.2775,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,308.754441572148,14999944.9413966,2.44660873756287,11.7793109031683,1107.45622575773,681.78970519074,308.860210650649
223,0.27875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,309.213147642918,14999944.669649,2.45024362611902,11.7618365255412,1107.66745021778,682.03541063343,309.317419182702
224,0.28,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,309.671625967512,14999944.3976844,2.4538767101532,11.7444225534713,1107.87832366291,682.281097972365,309.774387548159
225,0.28125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,310.129876891818,14999944.1255026,2.45750799240632,11.7270686676148,1108.08884701368,682.52676702417,310.231116006477
226,0.282499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,310.587900759856,14999943.8531038,2.46113747560451,11.7097745509249,1108.29902118954,682.772417605013,310.687604828476
227,0.283749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,311.045697913814,14999943.5804878,2.46476516245935,11.6925398886299,1108.50884710832,683.0180495306,311.1438542942
228,0.284999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,311.503268694066,14999943.3076548,2.46839105566807,11.6753643682124,1108.71832568583,683.263662616154,311.599864690952
229,0.286249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,311.960613439197,14999943.0346048,2.47201515791373,11.6582476793886,1108.9274578373,683.509256676398,312.055636311472
230,0.287499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,312.417732486025,14999942.7613377,2.47563747186536,11.6411895140875,1109.13624447575,683.754831525533,312.511169452258
231,0.288749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,312.874626169614,14999942.4878536,2.47925800017811,11.6241895664311,1109.3446865131,684.000386977211,312.966464411989
232,0.289999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,313.331294823288,14999942.2141525,2.48287674549334,11.6072475327143,1109.55278485946,684.245922844508,313.421521490065
233,0.291249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,313.787738778648,14999941.9402344,2.48649371043875,11.5903631113855,1109.76054042389,684.491438939892,313.876340985219
234,0.292499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,314.243958365573,14999941.6660994,2.49010889762841,11.5735360030274,1109.96795411351,684.736935075184,314.330923194217
235,0.293749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,314.699953912236,14999941.3917473,2.49372230966286,11.5567659103381,1110.17502683415,684.982411061518,314.785268410619
236,0.294999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,315.155725745104,14999941.1171784,2.49733394912911,11.5400525381122,1110.38175949004,685.227866709298,315.239376923595
237,0.296249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,315.611274188945,14999940.8423925,2.50094381860073,11.5233955932227,1110.58815298394,685.473301828145,315.693249016792
238,0.297499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,316.066599566825,14999940.5673897,2.50455192063779,11.5067947846025,1110.79420821695,685.718716226848,316.146884967238
239,0.298749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,316.521702200114,14999940.29217,2.50815825778693,11.4902498232268,1110.99992608872,685.9641097133,316.600285044281
240,0.299999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,316.976582408481,14999940.0167334,2.51176283258129,11.4737604220953,1111.20530749726,686.209482094435,317.053449508547
241,0.301249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,317.431240509887,14999939.74108,2.5153656475405,11.4573262962148,1111.41035333898,686.454833176158,317.506378610928
242,0.302499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,317.885676820589,14999939.4652098,2.51896670517068,11.4409471625821,1111.61506450887,686.70016276327,317.95907259157
243,0.303749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,318.339891655123,14999939.1891227,2.5225660079643,11.424622740167,1111.81944190008,686.945470659382,318.411531678879
244,0.304999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,318.793885326304,14999938.9128188,2.52616355840021,11.4083527498957,1112.02348640419,687.190756666828,318.863756088524
245,0.306249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,319.247658145209,14999938.6362981,2.52975935894347,11.3921369146342,1112.2271989113,687.436020586568,319.315746022436
246,0.307499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,319.70121042117,14999938.3595607,2.53335341204533,11.3759749591722,1112.43058030984,687.681262218083,319.767501667801
247,0.308749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,320.154542461758,14999938.0826065,2.53694572014308,11.3598666102071,1112.63363148632,687.926481359264,320.21902319604
248,0.309999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,320.607654572769,14999937.8054356,2.54053628565994,11.343811596328,1112.83635332585,688.17167780629,320.670310761766
249,0.311249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,321.060547058207,14999937.528048,2.54412511100494,11.3278096480002,1113.03874671166,688.416851353495,321.12136450173
250,0.312499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,321.513220220264,14999937.2504438,2.54771219857272,11.3118604975501,1113.24081252541,688.662001793235,321.572184533723
251,0.313749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,321.9656743593,14999936.9726228,2.55129755074346,11.2959638791497,1113.44255164698,688.90712891573,322.022770955464
252,0.314999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,322.417909773824,14999936.6945852,2.55488116988261,11.280119528802,1113.6439649545,689.152232508905,322.473123843439
253,0.316249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,322.869926760463,14999936.416331,2.55846305834074,11.2643271843259,1113.84505332419,689.397312358218,322.923243251702
254,0.317499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,323.32172561394,14999936.1378602,2.56204321845335,11.2485865853422,1114.04581763066,689.642368246471,323.373129210638
255,0.318749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,323.773306627046,14999935.8591728,2.5656216525406,11.2328974732588,1114.24625874687,689.887399953611,323.822781725665
256,0.319999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,324.224670090607,14999935.5802689,2.56919836290707,11.2172595912571,1114.4463775434,690.132407256513,324.272200775888
257,0.321249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,324.675816293452,14999935.3011484,2.57277335184155,11.2016726842778,1114.64617488966,690.377389928754,324.721386312688
258,0.322499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,325.126745522376,14999935.0218115,2.57634662161669,11.1861364990075,1114.84565165261,690.622347740362,325.170338258256
259,0.323749999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,325.577458062107,14999934.742258,2.57991817448877,11.1706507838653,1115.04480869773,690.867280457554,325.619056504043
260,0.324999999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,326.027954195259,14999934.4624881,2.58348801269731,11.1552152889891,1115.24364688836,691.112187842451,326.067540909148
261,0.326249999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,326.478234202293,14999934.1825017,2.58705613846478,11.1398297662235,1115.44216708591,691.357069652774,326.515791298616
262,0.327499999999999,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,326.928298361469,14999933.902299,2.5906225539962,11.1244939691062,1115.64037014985,691.601925641516,326.963807461654
263,0.328749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,327.378146948798,14999933.6218799,2.59418726147877,11.1092076528559,1115.83825693768,691.846755556599,327.411589149754
264,0.329999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,327.827780237987,14999933.3412444,2.59775026308144,11.0939705743599,1116.03582830494,692.091559140491,327.859136074716
265,0.331249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,328.277198500388,14999933.0603925,2.60131156095448,11.0787824921621,1116.23308510497,692.336336129815,328.306447906569
266,0.332499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,328.726402004933,14999932.7793244,2.604871157229,11.0636431664507,1116.43002818911,692.581086254909,328.753524271377
